date,title,gallery,topic,methodology_takeaway,source_url
2026-08-23,저는 지금과 같은 시장에 매우 만족함,SCHD,sentiment / rate-valuation fear,Persistent rate-valuation fear and uncertainty can coexist with strong returns; increasing capitulation by pessimists is a warning sign.,https://gall.dcinside.com/mini/board/view/?id=schd&no=87117
2026-07-31,화이또님 말이 맞음여,SCHD,sentiment cycle,Explicitly describes the current phase as late optimism and argues late-optimism returns can be unusually important.,https://gall.dcinside.com/mini/board/view/?id=schd&no=86037
2026-04-17,약세장 이후의 이야기,Ken Fisher,bear-market sequencing / bounce effect,Do not classify leaders only by total drawdown. Track who held up in the first half of the bear and who capitulated later; post-bottom leadership often follows this sequence.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=259
2026-04-10,저는타워타워라고봄,Bill Ackman,prior-cycle leaders,"A prior bull-market leader can re-emerge around the next bull's middle phase; prior-cycle leadership is useful context, not a deterministic rule.",https://gall.dcinside.com/mini/board/view/?id=billackman&no=1062
2026-03-28,올해 테크에 관해서,Bill Ackman,leadership / bounce / supply,2022-23 Tech leadership is interpreted partly through bounce effect. Early-bull leaders reflect sentiment rebound relative to supply growth; global and non-US sector context matters.,https://gall.dcinside.com/mini/board/view/?id=billackman&no=1041
2026-03-17,저는 미국 ALT비즈니스 생각중임여,Bill Ackman,wall of worry / issuance,A wall of worry can support rebounds; issuance and roll-up intensity should be judged relative to market size rather than in isolation.,https://gall.dcinside.com/mini/board/view/?id=billackman&no=1018
2026-02-26,스타일 리더십4,Ken Fisher,style leadership,Part of the author's style-leadership series; maintain style leadership as a separate layer from sector leadership.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=251
2026-02-24,사이클3,Ken Fisher,cycle duration / small value,Small-value leadership can persist for multi-year stretches after major bear markets; short windows need cycle context.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=242
2026-02-23,켄 피셔 반등효과에 대해서 (23년 칼럼),Ken Fisher,bounce effect,Prior bear-market damage is a key explanatory variable for early-bull leadership.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=239
2026-01-30,켄 피셔 리딩섹터란,Ken Fisher,leading sectors / expectations,Prices respond to reality versus expectations. Early bull: expectation reversal; middle: consistency/compounding; late: expectations and perceived safety become elevated.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=236
2026-01-28,제가 saas 버블 주장한게 22년도거든요,Bill Ackman,security supply / competition,"IPO and equity issuance are supply, not automatically bullish. Sustainable leadership requires demand/sentiment improvement to outrun new security/business supply.",https://gall.dcinside.com/mini/board/view/?id=billackman&no=844
2025-01-08,켄피셔 2025년 투자자 질문 답변,Ken Fisher,sentiment cycle,Bull market: pessimism -> skepticism -> optimism -> euphoria; stage duration is not fixed.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=225
2024-04-07,켄 피셔 투자자 감정,Ken Fisher,expectations / surprise,Not-euphoria judgment relied partly on expert expectations being too pessimistic and economic data surprising positively; consensus forecast error matters.,https://gall.dcinside.com/mgallery/board/view/?id=kenfisher&no=219
2022-09-10,켄 피셔 2003년 인터뷰,SCHD,style categories / bounce,Long-run category return differences can be dominated by brief post-bear rebounds; focus on which category leads now rather than assuming permanent factor premia.,https://gall.dcinside.com/mini/board/view/?id=schd&no=2442
2022-04-26,기회비용 손실,Warren Buffett,bull/bear stages,Separates bull-market stages from bear-market stages; large portions of returns can occur near pessimism/euphoria transitions.,https://gall.dcinside.com/mgallery/board/view/?id=buffett&no=815
2022-04-14,주식시장의 선행지표 (켄피셔),Warren Buffett,macro regime,"LEI components, yield curve and credit/lending context are regime context, not direct style-leadership signals.",https://gall.dcinside.com/mgallery/board/view/?id=buffett&no=657
2022-04-10,IPO와 유상증자,Warren Buffett,euphoria / equity supply,"IPO/SPAC/equity issuance are central euphoria/supply indicators; low issuance can coexist with optimism, while issuance excess is late-cycle warning evidence.",https://gall.dcinside.com/mgallery/board/view/?id=buffett&no=637
