file,column,definition
style_leadership_latest.csv,rs_return_N,N-trading-day change in numerator/denominator price ratio.
style_leadership_latest.csv,freq_N,Share of last N trading days where numerator daily return exceeded denominator daily return.
style_leadership_latest.csv,magnitude_N,Average daily return difference: numerator minus denominator over last N trading days.
style_leadership_latest.csv,upday_freq_N,"On SPY up days, share of observations where numerator beat denominator."
style_leadership_latest.csv,downday_freq_N,"On SPY down days, share of observations where numerator beat denominator."
style_leadership_latest.csv,upday_magnitude_N,Average numerator-minus-denominator return on SPY up days.
style_leadership_latest.csv,downday_magnitude_N,Average numerator-minus-denominator return on SPY down days.
style_leadership_latest.csv,change_state,STABLE / WATCH / ROTATING / CONFIRMED based on 21/63/126-day alignment.
sector_leadership_latest.csv,excess_N,Sector cumulative return minus its configured benchmark cumulative return.
sector_leadership_latest.csv,rank_change_21_vs_63,63-day rank minus 21-day rank. Positive = improving rank recently.
market_regime_latest.csv,mechanical_state,Mechanical broad-market context; not a definitive bull/bear call.
bounce_context_latest.csv,max_drawdown_252,Worst peak-to-trough drawdown observed in the last 252 trading days.
bounce_context_latest.csv,rebound_from_126d_low,Current price return from the lowest close of the last 126 trading days.
breadth_latest.csv,breadth_pct,Percent of S&P 500 constituents outperforming SPY over the stated lookback window.
sentiment_market_proxy_latest.csv,proxy_score,0-100 market-implied warmth proxy; NOT Ken Fisher's exact sentiment score.
