module,study,finding,dashboard_feature,source_url,implementation
Medium-term momentum,Jegadeesh & Titman (1993),Past 3-12 month winners show return persistence over intermediate horizons.,63D/126D/252D relative strength,https://doi.org/10.1111/j.1540-6261.1993.tb04702.x,AUTO
Industry momentum,Moskowitz & Grinblatt (1999),Industry return components exhibit strong momentum and explain much stock momentum.,Sector-level rank/persistence + FF49 validation,https://doi.org/10.1111/0022-1082.00146,AUTO
Intermediate horizon,Novy-Marx (2012),Momentum is especially related to returns 12-to-7 months before formation.,12-1 and 12-7 relative momentum,https://doi.org/10.1016/j.jfineco.2011.05.003,AUTO
Return consistency,Grinblatt & Moskowitz (2004),Winners built from steady positive months have stronger expected returns than jumpy winners.,12M positive-month ratio + daily win frequency/magnitude,https://doi.org/10.1016/S0304-405X(03)00176-4,AUTO
Market-state conditioning,"Cooper, Gutierrez & Hameed (2004)",Momentum profitability depends on prior market state.,Market Regime conditions leadership confidence,https://doi.org/10.1111/j.1540-6261.2004.00665.x,AUTO
Momentum crash / Bounce,Daniel & Moskowitz (2016),Momentum crashes cluster after market declines and during sharp market rebounds.,Prior drawdown rank + rebound rank + market rebound context,https://doi.org/10.1016/j.jfineco.2015.12.002,AUTO
Earnings confirmation,"Chan, Jegadeesh & Lakonishok (1996)",Past returns and earnings surprises independently predict subsequent return drift; analyst forecasts adjust slowly.,EPS surprise + estimate revision breadth/proxy,https://doi.org/10.1111/j.1540-6261.1996.tb05222.x,OPTIONAL_API
Capital investment,"Titman, Wei & Xie (2004)",Large increases in capital investment are followed by lower benchmark-adjusted returns.,SEC CapEx growth / CapEx intensity,https://doi.org/10.1017/S0022109000003173,AUTO_US
Asset growth,"Cooper, Gulen & Schill (2008)",High firm asset growth predicts lower subsequent abnormal returns.,SEC asset growth by sector,https://doi.org/10.1111/j.1540-6261.2008.01370.x,AUTO_US
Share issuance,Pontiff & Woodgate (2008),Post-1970 share issuance strongly predicts lower cross-sectional returns.,Listed-company share-count supply + SEC primary-market issuance,https://doi.org/10.1111/j.1540-6261.2008.01335.x,AUTO
IPO/SEO supply,Loughran & Ritter (1995),IPO and SEO issuers substantially underperformed nonissuers over long horizons in their sample.,SEC 424B4/424B5 supply regime + low-quality issuance proxy,https://doi.org/10.1111/j.1540-6261.1995.tb05166.x,AUTO_US
